#Network | Station | Latitude | Longitude | Elevation | SiteName | StartTime | EndTime 
OV|PNUA|10.5955|-83.839897|49.0|Pueblo Nuevo de la Aldea, Limon|2012-10-05T00:00:00.0000|
OV|POA2|10.1751|-84.248901|2493.0|Volcan Poas|1984-04-01T00:00:00.0000|2014-01-28T23:59:59.0000
OV|POA5|10.2044|-84.229698|2425.0|Crater Von Franzius, Volcan Poas|1984-04-01T00:00:00.0000|
OV|POPE|10.0635|-85.263397|37.0|POPE, Guanacaste|2012-11-30T00:00:00.0000|
OV|POTG|9.0525|-83.118896|674.0|Potrero Grande  , Buenos Aires , Puntarenas|2014-10-08T00:00:00.0000|
OV|PUJE|10.1139|-85.272499|42.0|Puerto Jesus Guanacaste|2012-11-30T00:00:00.0000|
OV|QPSB|9.3919|-84.123901|52.0|QUEPOS, Puntarenas|2013-11-01T00:00:00.0000|
OV|QPSR|9.3919|-84.123901|52.0|Quepos|1984-04-01T00:00:00.0000|2013-06-01T23:59:59.0000
OV|RIFO|10.3172|-83.922798|139.0|RIO FRIO, Sarapiqui, Heredia|2010-04-15T00:00:00.0000|
OV|RIMA|9.7666|-83.863602|1665.0|Rio Macho|2012-09-01T00:00:00.0000|
OV|RIN3|10.7883|-85.365196|870.0|Volcan Rincon de la Vieja|1984-04-01T00:00:00.0000|2014-05-26T23:59:59.0000
OV|RIOS|8.7005|-83.514297|81.0|RINCON, Osa|2008-01-01T00:00:00.0000|
OV|SAJU|10.0673|-85.710503|90.0|San Juanillo, Guanacaste|2012-10-10T00:00:00.0000|
OV|SARO|10.843065|-85.615723|303.0|SARO|2000-01-01T00:00:00.0000|
OV|SRBA|9.2321|-83.3601|974.0|San Rafael , Buenos Aires , Puntarenas|2014-10-07T00:00:00.0000|
OV|TAM|10.2635|-85.848198|5.0|Tamarindo, Guanacaste|2012-09-07T00:00:00.0000|
OV|TBLN|9.8237|-83.999298|1596.0|Tablon, Guarco|2012-09-18T00:00:00.0000|
OV|TERA|10.1706|-84.197998|2010.0|Volcan Poas|1984-04-01T00:00:00.0000|2013-09-19T23:59:59.0000
OV|TIG2|9.0284|-83.296898|580.0|Cerro Tigre, Buenos Aires de Puntarenas|1984-04-01T00:00:00.0000|
OV|TJAR|9.8504|-83.930199|1414.0|Estacion Temporal TJAR|2013-01-01T00:00:00.0000|
OV|TLLA|10.0016|-83.775299|2688.0|Tiendilla, Volcan Turrialba|1984-04-01T00:00:00.0000|2014-11-02T23:59:59.0000
OV|VACR|10.472|-84.675003|370.0|Volcan Arenal|2015-09-22T00:00:00.0000|
OV|VAVL|10.4373|-84.709099|749.0|VAVL, Volcan Arenal, Volcano Lodge|2012-04-01T00:00:00.0000|
OV|VICA|9.9845|-83.844597|3358.0|Crater Activo, Volcan Irazu|2014-04-24T00:00:00.0000|
OV|VICI1|9.9732|-83.860497|3424.0|Cima Irazu 1|2015-01-27T00:00:00.0000|
OV|VICI2|9.9741|-83.864197|3402.0|Cima Irazu 2|2015-01-27T00:00:00.0000|
OV|VIMO|10.0242|-83.943199|1754.0|Monserrat, Cascajal, Coronado, Volcan Irazu|2015-06-18T00:00:00.0000|
OV|VIRE|9.9668|-83.897499|2971.0|Volcan irazu hacienda Retes|2012-05-01T00:00:00.0000|
OV|VMAR|10.8125|-85.120499|580.0|Armenia, Volcan Miravalles|2014-08-27T00:00:00.0000|
OV|VPCC|10.268144|-84.204591|1135.0|Nueva Cinchona, Volcan Poas|2023-12-08T11:20:10.5320|
OV|VPPC|10.199833|-84.22765|2462.0|Volc?n Po?s - Po?s Crater|2023-11-29T12:00:00.0000|
OV|VPRS|10.23363|-84.276914|1419.0|Rio Segundo, Volcan Poas|2023-12-08T11:26:31.4260|
OV|VPTE|10.1718|-84.198502|2109.0|Terranova, Volcan Poas|2013-09-20T00:00:00.0000|
