#Network | Station | Location | Channel | Latitude | Longitude | Elevation | Depth | Azimuth | Dip | SensorDescription | Scale | ScaleFreq | ScaleUnits | SampleRate | StartTime | EndTime
TC|VERF||HHE|9.92656|-83.19049|423.0|0.0|90.0|0.0|CMG-3T|9.44487E8|1.0|m/s|100.0|2018-08-21T21:18:00.0000|2020-02-26T23:59:00.0000
TC|VERF||HHE|9.92656|-83.19049|423.0|0.0|90.0|0.0|CMG-3T, 120s to 50Hz, 1500 V/m/s-DM-24 Mk3 Fixed G|4.68622E8|0.05|m/s|100.0|2020-02-27T00:00:00.0000|2021-02-28T23:59:59.9999
TC|VERF||HHE|9.92656|-83.19049|423.0|0.0|90.0|0.0|CMG-6T, 30s-100Hz, 2400 V/m/s-DM-24 Mk3 Fixed Gain|6.85549E8|0.05|m/s|100.0|2021-05-04T00:00:00.0000|
TC|VERF||HHN|9.92656|-83.19049|423.0|0.0|0.0|0.0|CMG-3T|9.44487E8|1.0|m/s|100.0|2018-08-21T21:18:00.0000|2020-02-26T23:59:00.0000
TC|VERF||HHN|9.92656|-83.19049|423.0|0.0|0.0|0.0|CMG-3T, 120s to 50Hz, 1500 V/m/s-DM-24 Mk3 Fixed G|4.68622E8|0.05|m/s|100.0|2020-02-27T00:00:00.0000|2021-02-28T23:59:59.9999
TC|VERF||HHN|9.92656|-83.19049|423.0|0.0|0.0|0.0|CMG-6T, 30s-100Hz, 2400 V/m/s-DM-24 Mk3 Fixed Gain|6.85549E8|0.05|m/s|100.0|2021-05-04T00:00:00.0000|
TC|VERF||HHZ|9.92656|-83.19049|423.0|0.0|0.0|-90.0|CMG-3T|9.44487E8|1.0|m/s|100.0|2018-08-21T21:18:00.0000|2020-02-26T23:59:00.0000
TC|VERF||HHZ|9.92656|-83.19049|423.0|0.0|0.0|-90.0|CMG-3T, 120s to 50Hz, 1500 V/m/s-DM-24 Mk3 Fixed G|4.68622E8|0.05|m/s|100.0|2020-02-27T00:00:00.0000|2021-02-28T23:59:59.9999
TC|VERF||HHZ|9.92656|-83.19049|423.0|0.0|0.0|-90.0|CMG-6T, 30s-100Hz, 2400 V/m/s-DM-24 Mk3 Fixed Gain|6.85549E8|0.05|m/s|100.0|2021-05-04T00:00:00.0000|
TC|VERF||LHE|9.92655|-83.19049|423.0|0.0|90.0|0.0|CMG-3TCMG-3T|9.4509E8|0.25|m/s|1.0|2018-08-21T21:19:32.0640|2020-01-11T23:59:00.0000
TC|VERF||LHN|9.92655|-83.19049|423.0|0.0|0.0|0.0|CMG-3TCMG-3T|9.4509E8|0.25|m/s|1.0|2018-08-21T21:19:32.0640|2020-01-11T23:59:00.0000
TC|VERF||LHZ|9.92655|-83.19049|423.0|0.0|0.0|-90.0|CMG-3TCMG-3T|9.4509E8|0.25|m/s|1.0|2018-08-21T21:19:32.0640|2020-01-11T23:59:00.0000
TC|VERF||VM1|9.92655|-83.19049|423.0|0.0|0.0|0.0|CMG-3TCMG-3T|3.052E-4|0.0|V|0.1|2018-08-21T21:18:00.0000|2020-01-11T23:59:00.0000
TC|VERF||VM2|9.92655|-83.19049|423.0|0.0|0.0|0.0|CMG-3TCMG-3T|3.052E-4|0.0|V|0.1|2018-08-21T21:18:00.0000|2020-01-11T23:59:00.0000
TC|VERF||VM3|9.92655|-83.19049|423.0|0.0|0.0|0.0|CMG-3TCMG-3T|3.052E-4|0.0|V|0.1|2018-08-21T21:18:00.0000|2020-01-11T23:59:00.0000
